COUNTY_ID,COUNTY,FLD01,FLD02,FLD03,FLD04,FLD05,FLD06,FLD07,FLD08,FLD09,FLD10,FLD11,FLD12,INFO_TIME
縣市代碼,縣市名稱,房屋稅籍住宅類數量,住宅平均屋齡,1(含)年以下,1-5(含)年,5-10(含)年,10-15(含)年,15-20(含)年,20-25(含)年,25-30(含)年,30-40(含)年,40-50(含)年,50年以上,資料時間
65000,新北市,1732855,32.56,20833,72575,99525,81786,149763,81023,278936,333746,428763,185905,"114Y2S"
63000,臺北市,913092,39.09,5785,21267,26972,30392,58551,34922,61846,150989,333240,189128,"114Y2S"
68000,桃園市,948437,28.33,26562,68239,75295,61509,85197,77928,130121,181850,173688,68048,"114Y2S"
66000,臺中市,1151450,30.48,27530,81540,71131,64831,78801,58885,150990,299387,206256,112099,"114Y2S"
67000,臺南市,756139,34.89,14267,47062,42745,32364,37476,36520,83503,178920,165766,117516,"114Y2S"
64000,高雄市,1147456,34.15,17274,61720,52408,53216,74196,63815,131135,247983,273578,172131,"114Y2S"
10002,宜蘭縣,203376,35.00,3260,10688,12396,12064,11649,6048,24244,35875,50814,36338,"114Y2S"
10004,新竹縣,236984,28.35,5550,19243,24361,22352,26444,18042,21434,39246,31227,29085,"114Y2S"
10005,苗栗縣,217690,36.70,4179,10470,15356,11088,12675,9573,20808,36737,48362,48442,"114Y2S"
10007,彰化縣,425964,37.80,5958,17231,18008,14107,17024,16248,48279,92910,106128,90071,"114Y2S"
10008,南投縣,175206,38.91,2248,6175,6892,6870,7287,15053,16356,35987,38873,39465,"114Y2S"
10009,雲林縣,249600,40.91,3325,10368,9219,8461,9532,10297,24802,44833,58232,70531,"114Y2S"
10010,嘉義縣,182023,40.68,2110,5734,6044,5873,6937,7229,16415,30641,57507,43533,"114Y2S"
10013,屏東縣,305208,38.18,3575,13098,12160,12518,10523,14535,28473,69916,75815,64595,"114Y2S"
10014,臺東縣,88482,38.48,809,2804,3615,4182,3510,3852,8884,16201,21993,22632,"114Y2S"
10015,花蓮縣,134064,38.20,1190,4870,4929,4166,5220,6507,13423,29450,35295,29014,"114Y2S"
10016,澎湖縣,34447,44.10,460,1490,1555,1193,1875,1325,3064,4461,7923,11101,"114Y2S"
10017,基隆市,171487,35.26,917,4849,6691,3333,6880,3258,44577,36687,42619,21676,"114Y2S"
10018,新竹市,187148,29.50,1910,11799,12007,15926,19537,10221,29095,37757,31035,17861,"114Y2S"
10020,嘉義市,111479,36.14,1045,3395,3825,3868,5612,7147,11908,33074,21239,20366,"114Y2S"
09020,金門縣,25243,29.19,605,2109,4281,2811,1513,1751,2632,2593,3197,3751,"114Y2S"
09007,連江縣,3356,34.40,70,301,403,285,187,243,94,168,390,1215,"114Y2S"
